Amostra,Potencia_Media_do_Vento_(MW),,,,Potencia_Media_Consumida_(MW),,,,Desvio_Padrao_Vento_(MW),,,FCSPV_(Fracao_de_Carga_Suprida_pela_Potencia_do_Vento),,,,,
675,6925.185417,,,,61209.31625,,,,323.6356554,,,0.113139402,,,,,
676,4766.335833,,,,63376.38208,,,,1214.153977,,,0.075206815,,,,,
677,1599.282917,,,,66362.72375,,,,973.1303521,,,0.024099115,,,,,
678,656.6254167,,,,67658.74542,,,,386.253667,,,0.00970496,,,,,
679,2233.257917,,,,74014.76333,,,,1072.180931,,,0.030173141,,,,,
680,4090.902917,,,,73922.50833,,,,271.66639,,,0.055340423,,,,,
681,3878.677083,,,,75951.06292,,,,800.6492439,,,0.051068108,,,,,
682,4210.705417,,,,77109.0875,,,,1054.048708,,,0.054607123,,,,,
683,8507.60875,,,,76528.43292,,,,977.1240354,,,0.111169253,,,,,
684,8030.135,,,,71235.68583,,,,1147.166232,,,0.112726296,,,,,
685,2693.370417,,,,69075.63958,,,,1132.776485,,,0.03899161,,,,,
686,5463.79625,,,,74869.20333,,,,997.8231384,,,0.072977887,,,,,
687,5211.935417,,,,74706.73167,,,,1119.850839,,,0.069765271,,,,,
688,6499.975417,,,,72808.16167,,,,1836.070597,,,0.089275368,,,,,
689,10123.13125,,,,72756.09375,,,,976.8429065,,,0.139137916,,,,,
690,4059.985833,,,,71809.85292,,,,1344.37109,,,0.056538005,,,,,
691,2592.710417,,,,66332.87958,,,,803.3209162,,,0.039086354,,,,,
692,6317.778333,,,,65308.1675,,,,2134.110433,,,0.096737951,,,,,
693,8287.402917,,,,72252.78375,,,,1372.81667,,,0.114700119,,,,,
694,3828.07625,,,,74668.66917,,,,2017.900652,,,0.051267503,,,,,
695,9079.841667,,,,74514.23458,,,,1280.8875,,,0.121853787,,,,,
696,9022.688333,,,,77777.67875,,,,596.74917,,,0.116006141,,,,,
697,7263.335833,,,,79842.41917,,,,1502.124976,,,0.090970889,,,,,
698,5763.89125,,,,76069.00958,,,,2344.260913,,,0.075771872,,,,,
699,7113.3175,,,,71573.71792,,,,1744.046061,,,0.099384491,,,,,
700,2587.377083,,,,73960.86375,,,,1340.454711,,,0.034983057,,,,,
701,3791.805,,,,73429.8425,,,,2774.80618,,,0.051638474,,,,,
702,6933.917917,,,,71652.70042,,,,2950.501405,,,0.096771202,,,,,
703,3459.125833,,,,66060.78083,,,,2878.956073,,,0.052362775,,,,,
704,1586.000417,,,,63063.70708,,,,594.1467082,,,0.025149178,,,,,
705,5911.459583,,,,66185.74583,,,,991.6710098,,,0.089316204,,,,,
706,6283.689583,,,,68080.53167,,,,1427.331778,,,0.092297892,,,,,
707,9625.03375,,,,75225.79792,,,,1080.008494,,,0.127948576,,,,,
708,3277.194583,,,,75505.11292,,,,2525.595423,,,0.043403611,,,,,
709,989.4533333,,,,75039.795,,,,831.2053579,,,0.013185715,,,,,
710,6229.893333,,,,73615.07667,,,,2076.389903,,,0.084627954,,,,,
711,10581.09042,,,,71674.84125,,,,532.6143242,,,0.147626283,,,,,
